StrikerName,battingtype,4s,6s,batwkts,PaceOrSpin,1s,2s,3s,0s,x,y
Finnley Allen,RHB,0,0,0,1,0,0,0,1,234,333
Finnley Allen,RHB,1,0,0,1,0,0,0,0,227,335
Finnley Allen,RHB,0,0,0,1,0,0,0,1,224,360
Finnley Allen,RHB,0,0,0,1,0,0,0,1,277,325
Finnley Allen,RHB,0,0,0,1,0,0,0,1,265,302
Finnley Allen,RHB,0,1,0,1,0,0,0,0,299,330
Finnley Allen,RHB,0,0,0,1,0,0,0,1,320,306
Finnley Allen,RHB,0,0,0,1,1,0,0,0,317,271
Finnley Allen,RHB,0,0,0,1,0,0,0,0,367,310
Finnley Allen,RHB,0,0,0,1,0,0,0,1,211,305
Finnley Allen,RHB,0,0,0,1,0,0,0,1,204,349
Finnley Allen,RHB,0,0,0,1,0,0,1,0,301,379
Finnley Allen,RHB,0,0,0,1,0,0,0,1,254,341
Finnley Allen,RHB,1,0,0,1,0,0,0,0,346,244
Finnley Allen,RHB,0,0,0,1,1,0,0,0,289,300
Finnley Allen,RHB,0,0,0,1,1,0,0,0,311,372
Finnley Allen,RHB,0,0,0,1,1,0,0,0,250,349
Finnley Allen,RHB,0,0,0,1,0,0,0,1,190,331
Finnley Allen,RHB,0,0,0,1,1,0,0,0,214,339
Finnley Allen,RHB,0,0,0,1,1,0,0,0,332,369
Finnley Allen,RHB,0,0,0,1,1,0,0,0,320,290
Finnley Allen,RHB,1,0,0,1,0,0,0,0,339,315
Finnley Allen,RHB,1,0,0,1,0,0,0,0,299,289
Finnley Allen,RHB,0,0,0,1,1,0,0,0,333,365
